,country_en,country_pl,Eksport PPH w PLN,iso3
31,Albania,Albania,522721.0,ALB
32,Armenia,Armenia,5028473.0,ARM
33,Azerbaijan,Azerbejdżan,16614102.0,AZE
34,Belarus,Białoruś,40115365.0,BLR
35,Bosnia and Herzegovina,Bośnia i Hercegowina,179390.0,BIH
36,Bulgaria,Bułgaria,15785399.0,BGR
37,Croatia,Chorwacja,161519.0,HRV
38,Czechia,Czechy,14193030.0,CZE
39,Denmark,Dania,781253.0,DNK
40,Estonia,Estonia,731591.0,EST
41,Georgia,Gruzja,6598919.0,GEO
42,Hungary,Węgry,7499169.0,HUN
43,Kazakhstan,Kazachstan,58337462.0,KAZ
44,Kyrgyzstan,Kirgistan,2631478.0,KGZ
45,Lao People's Democratic Republic,Laos,203124.0,LAO
46,Latvia,Łotwa,7238937.0,LVA
47,Lithuania,Litwa,21996664.0,LTU
48,"Macedonia, the former Yugoslav Republic of",Macedonia,680643.0,MKD
49,"Moldova, Republic of",Mołdawia,6729328.0,MDA
50,Netherlands,Holandia,25502.0,NLD
51,Portugal,Portugalia,8666.0,PRT
52,Russian Federation,Rosja,184564630.0,RUS
53,Serbia,Serbia,702006.0,SER
54,Slovakia,Słowacja,3656529.0,SVK
55,Slovenia,Słowenia,80735.0,SVN
56,Turkey,Turcja,19719.0,TUR
57,Turkmenistan,Turkmenistan,5832896.0,TKM
58,Ukraine,Ukraina,27930888.0,UKR
59,United Kingdom,Wielka Brytania,2041607.0,GBR
60,Uzbekistan,Uzbekistan,29498822.0,UZB
61,Viet Nam,Wietnam,62143411.0,VNM
